rank_name	unit_name1	unit_name2	unit_name3	parent_name	usage	taxon_author	accepted_name	unacceptability_reason
Phylum	Bryozoa				valid			
Class	Stenolaemata			Bryozoa	valid			
Class	Gymnolaemata			Bryozoa	valid			
Class	Phylactolaemata			Bryozoa	valid			
Order	Cyclostomata			Stenolaemata	valid			
Order	Hederellida			Stenolaemata	valid			
Order	Cryptostomida			Stenolaemata	valid			
Order	Cystoporida			Stenolaemata	valid			
Order	Trepostomatida			Stenolaemata	valid			
Order	Fenestrida			Stenolaemata	valid			
Order	Ctenostomata			Gymnolaemata	valid			
Order	Cheilostomata			Gymnolaemata	valid			
Order	Plumatellida			Phylactolaemata	valid			
Suborder	Inovicellina			Cheilostomata	valid			
Suborder	Malacostegina			Cheilostomata	valid			
Suborder	Neocheilostomina			Cheilostomata	valid			
Suborder	Scrupariina			Cheilostomata	valid			
Suborder	Articulina			Cyclostomata	valid			
Suborder	Cancellata			Cyclostomata	valid			
Suborder	Cerioporina			Cyclostomata	valid			
Suborder	Paleotubuliporina			Cyclostomata	valid			
Suborder	Rectangulata			Cyclostomata	valid			
Suborder	Tubuliporina			Cyclostomata	valid			
Suborder	Alcyonidiina			Ctenostomata	valid			
Suborder	Flustrellidrina			Ctenostomata	valid			
Suborder	Paludicellina			Ctenostomata	valid			
Suborder	Protoctenostamata			Ctenostomata	valid			
Suborder	Protoctenostomata			Ctenostomata	valid			
Suborder	Stoloniferina			Ctenostomata	valid			
Suborder	Vesicularina			Ctenostomata	valid			
Suborder	Victorellina			Ctenostomata	valid			
Suborder	Ptilodictyina			Cryptostomida	valid			
Suborder	Rhabdomesina			Cryptostomida	valid			
Suborder	Timanodictyina			Cryptostomida	valid			
Suborder	Goldfussitrypina			Cryptostomida	valid			
Suborder	Strebolotrypina			Cryptostomida	valid			
Suborder	Ceramoporina			Cystoporida	valid			
Suborder	Fistuliporina			Cystoporida	valid			
Infraorder	Ascophorina			Neocheilostomina	valid			
Infraorder	Flustrina			Neocheilostomina	valid			
Family	Hederellidae			Hederellida	valid			
Family	Reptariidae			Hederellida	valid			
Family	Aisenvergiidae			Trepostomatida	valid			
Family	Amplexoporidae			Trepostomatida	valid			
Family	Anisotrypidae			Trepostomatida	valid			
Family	Araxoporidae			Trepostomatida	valid			
Family	Astralochomidae			Trepostomatida	valid			
Family	Atactotoechidae			Trepostomatida	valid			
Family	Batostomellidae			Trepostomatida	valid			
Family	Bimuroporidae			Trepostomatida	valid			
Family	Crustoporidae			Trepostomatida	valid			
Family	Cycloporidae			Trepostomatida	valid			
Family	Dianulitidae			Trepostomatida	valid			
Family	Diplotrypidae			Trepostomatida	valid			
Family	Dittoporidae			Trepostomatida	valid			
Family	Dyscritellidae			Trepostomatida	valid			
Family	Eridotrypellidae			Trepostomatida	valid			
Family	Esthonioporidae			Trepostomatida	valid			
Family	Girtyporidae			Trepostomatida	valid			
Family	Halloporidae			Trepostomatida	valid			
Family	Helenoporidae			Trepostomatida	valid			
Family	Hemieridotrypidae			Trepostomatida	valid			
Family	Heterotrypidae			Trepostomatida	valid			
Family	Leioclemidae			Trepostomatida	valid			
Family	Maychellinidae			Trepostomatida	valid			
Family	Mesotrypidae			Trepostomatida	valid			
Family	Mishulgellidae			Trepostomatida	valid			
Family	Monticuliporidae			Trepostomatida	valid			
Family	Nipponostenoporidae			Trepostomatida	valid			
Family	Orbiporidae			Trepostomatida	valid			
Family	Pseudocampylidae			Trepostomatida	valid			
Family	Ralfimartitidae			Trepostomatida	valid			
Family	Revalotrypidae			Trepostomatida	valid			
Family	Stenoporellidae			Trepostomatida	valid			
Family	Stenoporidae			Trepostomatida	valid			
Family	Stereotoechidae			Trepostomatida	valid			
Family	Trematoporidae			Trepostomatida	valid			
Family	Ulrichotrypellidae			Trepostomatida	valid			
Family	Zozariellidae			Trepostomatida	valid			
Family	Acanthocladiidae			Fenestrida	valid			
Family	Admiratellidae			Fenestrida	valid			
Family	Carnocladiidae			Fenestrida	valid			
Family	Chainodictyonidae			Fenestrida	valid			
Family	Enalloporidae			Fenestrida	valid			
Family	Fenestellidae			Fenestrida	valid			
Family	Fenestraliidae			Fenestrida	valid			
Family	Fenestraporidae			Fenestrida	valid			
Family	Phylloporinidae			Fenestrida	valid			
Family	Polyporidae			Fenestrida	valid			
Family	Ralfinidae			Fenestrida	valid			
Family	Sardesoninidae			Fenestrida	valid			
Family	Semicosciniidae			Fenestrida	valid			
Family	Septatoporidae			Fenestrida	valid			
Family	Septoporidae			Fenestrida	valid			
Family	Ptilodictyidae			Ptilodictyina	valid			
Family	Escharoporidae			Ptilodictyina	valid			
Family	Intraporidae			Ptilodictyina	valid			
Family	Phragmopheridae			Ptilodictyina	valid			
Family	Rhinidictyidae			Ptilodictyina	valid			
Family	Stictoporellidae			Ptilodictyina	valid			
Family	Virgatellidae			Ptilodictyina	valid			
Family	Phaenoporidae			Ptilodictyina	valid			
Family	Worthenoporidae			Ptilodictyina	valid			
Family	Arthrostylidae			Rhabdomesina	valid			
Family	Rhabdomesidae			Rhabdomesina	valid			
Family	Rhomboporidae			Rhabdomesina	valid			
Family	Bactroporidae			Rhabdomesina	valid			
Family	Nikiforovellidae			Rhabdomesina	valid			
Family	Pseudoascoporidae			Rhabdomesina	valid			
Family	Hyphasmoporidae			Rhabdomesina	valid			
Family	Streblascoporidae			Rhabdomesina	valid			
Family	Timanodictyidae			Timanodictyina	valid			
Family	Murengoloclemidae			Timanodictyina	valid			
Family	Goldfussitrypidae			Goldfussitrypina	valid			
Family	Maychellidae			Goldfussitrypina	valid			
Family	Mediaporidae			Goldfussitrypina	valid			
Family	Nicklesoporidae			Goldfussitrypina	valid			
Family	Nudymiellidae			Strebolotrypina	valid			
Family	Nematoporidae			Strebolotrypina	valid			
Family	Nematotrypidae			Strebolotrypina	valid			
Family	Ceramoporidae			Ceramoporina	valid			
Family	Acanthoceramoporellidae			Ceramoporina	valid			
Family	Rhinoporidae			Ceramoporina	valid			
Family	Anolotichiidae			Fistuliporina	valid			
Family	Xenotrypidae			Fistuliporina	valid			
Family	Constellariidae			Fistuliporina	valid			
Family	Fistuliporidae			Fistuliporina	valid			
Family	Botrylloporidae			Fistuliporina	valid			
Family	Actinotrypidae			Fistuliporina	valid			
Family	Hexagonellidae			Fistuliporina	valid			
Family	Cystodictyonidae			Fistuliporina	valid			
Family	Etherellidae			Fistuliporina	valid			
Family	Goniocladiidae			Fistuliporina	valid			
Family	Annectocymidae			Tubuliporina	valid			
Family	Canaliporidae			Cancellata	valid			
Family	Cavidae			Cerioporina	valid			
Family	Celluliporidae			Tubuliporina	valid			
Family	Cerioporidae			Cerioporina	valid			
Family	Cinctiporidae			Tubuliporina	valid			
Family	Clausidae			Cerioporina	valid			
Family	Corymboporidae			Cerioporina	valid			
Family	Corynotrypidae			Paleotubuliporina	valid			
Family	Crassodiscoporidae			Cancellata	valid			
Family	Crisiidae			Articulina	valid			
Family	Crisinidae			Cancellata	valid			
Family	Crisuliporidae			Tubuliporina	valid			
Family	Crownoporidae			Paleotubuliporina	valid			
Family	Cytididae			Cancellata	valid			
Family	Densiporidae			Cerioporina	valid			
Family	Diaperoeciidae			Tubuliporina	valid			
Family	Diastoporidae			Tubuliporina	valid			
Family	Eleidae			Tubuliporina	valid			
Family	Entalophoridae			Tubuliporina	valid			
Family	Filisparsidae			Tubuliporina	valid			
Family	Frondiporidae			Tubuliporina	valid			
Family	Hastingsiidae			Tubuliporina	valid			
Family	Heteroporidae			Cerioporina	valid			
Family	Horneridae			Cancellata	valid			
Family	Idmoneidae			Tubuliporina	valid			
Family	Leiosoeciidae			Cerioporina	valid			
Family	Lichenoporidae			Rectangulata	valid			
Family	Lobosoeciidae			Tubuliporina	valid			
Family	Mecynoeciidae			Tubuliporina	valid			
Family	Multisparsidae			Tubuliporina	valid			
Family	Oncousoeciidae			Tubuliporina	valid			
Family	Petaloporidae			Cancellata	valid			
Family	Pseudidmoneidae			Cancellata	valid			
Family	Pseudocerioporidae			Cerioporina	valid			
Family	Pustuloporidae			Tubuliporina	valid			
Family	Sagenellidae			Paleotubuliporina	valid			
Family	Semiceidae			Tubuliporina	valid			
Family	Siphoniotyphlidae			Tubuliporina	valid			
Family	Spiroporidae			Tubuliporina	valid			
Family	Stigmatoechidae			Cancellata	valid			
Family	Stomatoporidae			Tubuliporina	valid			
Family	Terviidae			Tubuliporina	valid			
Family	Theonoidae			Tubuliporina	valid			
Family	Tubuliporidae			Tubuliporina	valid			
Superfamily	Aeverrillioidea			Stoloniferina	valid			
Superfamily	Alcyonidoidea			Alcyonidiina	valid			
Superfamily	Arachnidioidea			Stoloniferina	valid			
Superfamily	Benedeniporoidea			Protoctenostamata	valid			
Superfamily	Flustrellidroidea			Flustrellidrina	valid			
Superfamily	Haywardozoonoidea			Flustrellidrina	valid			
Superfamily	Hislopioidea			Stoloniferina	valid			
Superfamily	Paludicelloidea			Paludicellina	valid			
Superfamily	Penetrantiina			Stoloniferina	valid			
Superfamily	Terebriporoidea			Stoloniferina	valid			
Superfamily	Triticelloidea			Stoloniferina	valid			
Superfamily	Valkerioidea			Stoloniferina	valid			
Superfamily	Vesicularioidea			Vesicularina	valid			
Superfamily	Victorelloidea			Victorellina	valid			
Family	Aethozoontidae			Victorelloidea	valid			
Family	Aeverrilliidae			Aeverrillioidea	valid			
Family	Alcyonidiidae			Alcyonidoidea	valid			
Family	Arachnidiidae			Arachnidioidea	valid			
Family	Ascodictyidae			Ctenostomata	valid			
Family	Bathyalozoontidae			Vesicularioidea	valid			
Family	Benedeniporidae			Benedeniporoidea	valid			
Family	Buskiidae			Vesicularioidea	valid			
Family	Clavoporidae			Alcyonidoidea	valid			
Family	Cookobryozoonidae			Terebriporoidea	valid			
Family	Farrellidae			Aeverrillioidea	valid			
Family	Flustrellidridae			Flustrellidroidea	valid			
Family	Harmeriellidae			Valkerioidea	valid			
Family	Haywardozoontidae			Haywardozoonoidea	valid			
Family	Hislopiidae			Hislopioidea	valid			
Family	Hypophorellidae			Valkerioidea	valid			
Family	Immergentiidae			Victorelloidea	valid			
Family	Labiostomellidae			Benedeniporoidea	valid			
Family	Mimosellidae			Valkerioidea	valid			
Family	Monobryozoontidae			Alcyonidoidea	valid			
Family	Nolellidae			Victorelloidea	valid			
Family	Orbignyoporidae			Terebriporoidea	valid			
Family	Pachyzoontidae			Alcyonidoidea	valid			
Family	Paludicellidae			Paludicelloidea	valid			
Family	Penetrantiidae			Penetrantiina	valid			
Family	Pherusellidae			Flustrellidroidea	valid			
Family	Pottsiellidae			Victorelloidea	valid			
Family	Ropalonariidae			Terebriporoidea	valid			
Family	Spathiporidae			Terebriporoidea	valid			
Family	Sundanellidae			Victorelloidea	valid			
Family	Terebriporidae			Terebriporoidea	valid			
Family	Triticellidae			Triticelloidea	valid			
Family	Vesiculariidae			Benedeniporoidea	valid			
Family	Victorellidae			Victorelloidea	valid			
Family	Vinellidae			Terebriporoidea	valid			
Family	Voigtellidae			Terebriporoidea	valid			
Family	Walkeriidae			Valkerioidea	valid			
Superfamily	Adeonoidea			Ascophorina	valid			
Superfamily	Aeteoidea			Inovicellina	valid			
Superfamily	Arachnopusioidea			Ascophorina	valid			
Superfamily	Bifaxarioidea			Ascophorina	valid			
Superfamily	Buguloidea			Flustrina	valid			
Superfamily	Calloporoidea			Flustrina	valid			
Superfamily	Catenicelloidea			Ascophorina	valid			
Superfamily	Cellarioidea			Flustrina	valid			
Superfamily	Celleporoidea			Ascophorina	valid			
Superfamily	Conescharellinoidea			Ascophorina	valid			
Superfamily	Cribrilinoidea			Ascophorina	valid			
Superfamily	Didymoselloidea			Ascophorina	valid			
